run-id;sim.json;crop.json;site.json;climate_data;climate_model;climate_scenario;climate_region;start_year;end_year;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3
1;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
2;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
3;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
4;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
5;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
6;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
7;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
8;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
9;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
10;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
11;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
12;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
13;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
14;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
15;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
16;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
17;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
18;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
19;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
20;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
21;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
22;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
23;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
24;sim.json;crop_cut2.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
25;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
26;sim.json;crop_cut3.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
27;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
28;sim.json;crop_cut4.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
29;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;rcp2p6;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
30;sim.json;crop_cut5.json;site.json;isimip;IPSL-CM5A-LR;rcp8p5;germany;2025;2095;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;360;
31;sim.json;crop_cut1.json;site.json;isimip;IPSL-CM5A-LR;historical;germany;1980;2005;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;360;
